#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170358406079 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24886559      0.1035124329E+00
  -0.3999000000     -6.24614446      0.1058938226E+00
  -0.3998000000     -6.24342332      0.1083280080E+00
  -0.3997000000     -6.24070218      0.1108091218E+00
  -0.3996000000     -6.23798104      0.1133294441E+00
  -0.3995000000     -6.23525990      0.1158790010E+00
  -0.3994000000     -6.23253876      0.1184450864E+00
  -0.3993000000     -6.22981763      0.1210116918E+00
  -0.3992000000     -6.22709649      0.1235588335E+00
  -0.3991000000     -6.22437535      0.1260617636E+00
  -0.3990000000     -6.22165421      0.1284900548E+00
  -0.3989000000     -6.21893307      0.1308065560E+00
  -0.3988000000     -6.21621193      0.1329662245E+00
  -0.3987000000     -6.21349080      0.1349148587E+00
  -0.3986000000     -6.21076966      0.1365877849E+00
  -0.3985000000     -6.20804852      0.1379085948E+00
  -0.3984000000     -6.20532738      0.1387880946E+00
  -0.3983000000     -6.20260624      0.1391237147E+00
  -0.3982000000     -6.19988510      0.1387997498E+00
  -0.3981000000     -6.19716396      0.1376889380E+00
  -0.3980000000     -6.19444283      0.1356560429E+00
  -0.3979000000     -6.19172169      0.1325642290E+00
  -0.3978000000     -6.18900055      0.1282850516E+00
  -0.3977000000     -6.18627941      0.1227127065E+00
  -0.3976000000     -6.18355827      0.1157826716E+00
  -0.3975000000     -6.18083713      0.1074938767E+00
  -0.3974000000     -6.17811600      0.9793205017E-01
  -0.3973000000     -6.17539486      0.8729010926E-01
  -0.3972000000     -6.17267372      0.7587996049E-01
  -0.3971000000     -6.16995258      0.6412975117E-01
  -0.3970000000     -6.16723144      0.5256235190E-01
  -0.3969000000     -6.16451030      0.4175492568E-01
  -0.3968000000     -6.16178917      0.3228492021E-01
  -0.3967000000     -6.15906803      0.2467261114E-01
  -0.3966000000     -6.15634689      0.1933212354E-01
  -0.3965000000     -6.15362575      0.1654058223E-01
  -0.3964000000     -6.15090461      0.1642962552E-01
  -0.3963000000     -6.14818347      0.1899738218E-01
  -0.3962000000     -6.14546234      0.2413458288E-01
  -0.3961000000     -6.14274120      0.3165692549E-01
  -0.3960000000     -6.14002006      0.4133681209E-01
  -0.3959000000     -6.13729892      0.5292994311E-01
  -0.3958000000     -6.13457778      0.6619478063E-01
  -0.3957000000     -6.13185664      0.8090483253E-01
  -0.3956000000     -6.12913550      0.9685483762E-01
  -0.3955000000     -6.12641437      0.1138623644E+00
  -0.3954000000     -6.12369323      0.1317663151E+00
  -0.3953000000     -6.12097209      0.1504235837E+00
  -0.3952000000     -6.11825095      0.1697048065E+00
  -0.3951000000     -6.11552981      0.1894898645E+00
  -0.3950000000     -6.11280867      0.2096635718E+00
  -0.3949000000     -6.11008754      0.2301118282E+00
  -0.3948000000     -6.10736640      0.2507184133E+00
  -0.3947000000     -6.10464526      0.2713625329E+00
  -0.3946000000     -6.10192412      0.2919171940E+00
  -0.3945000000     -6.09920298      0.3122484556E+00
  -0.3944000000     -6.09648184      0.3322155814E+00
  -0.3943000000     -6.09376071      0.3516720899E+00
  -0.3942000000     -6.09103957      0.3704676654E+00
  -0.3941000000     -6.08831843      0.3884508482E+00
  -0.3940000000     -6.08559729      0.4054723754E+00
  -0.3939000000     -6.08287615      0.4213889920E+00
  -0.3938000000     -6.08015501      0.4360675108E+00
  -0.3937000000     -6.07743388      0.4493888633E+00
  -0.3936000000     -6.07471274      0.4612518743E+00
  -0.3935000000     -6.07199160      0.4715765000E+00
  -0.3934000000     -6.06927046      0.4803063043E+00
  -0.3933000000     -6.06654932      0.4874100054E+00
  -0.3932000000     -6.06382818      0.4928819978E+00
  -0.3931000000     -6.06110704      0.4967418349E+00
  -0.3930000000     -6.05838591      0.4990327385E+00
  -0.3929000000     -6.05566477      0.4998192700E+00
  -0.3928000000     -6.05294363      0.4991843479E+00
  -0.3927000000     -6.05022249      0.4972258286E+00
  -0.3926000000     -6.04750135      0.4940528700E+00
  -0.3925000000     -6.04478021      0.4897822875E+00
  -0.3924000000     -6.04205908      0.4845350813E+00
  -0.3923000000     -6.03933794      0.4784332751E+00
  -0.3922000000     -6.03661680      0.4715971635E+00
  -0.3921000000     -6.03389566      0.4641430238E+00
  -0.3920000000     -6.03117452      0.4561813099E+00
  -0.3919000000     -6.02845338      0.4478153147E+00
  -0.3918000000     -6.02573225      0.4391402662E+00
  -0.3917000000     -6.02301111      0.4302428079E+00
  -0.3916000000     -6.02028997      0.4212008023E+00
  -0.3915000000     -6.01756883      0.4120834000E+00
  -0.3914000000     -6.01484769      0.4029513145E+00
  -0.3913000000     -6.01212655      0.3938572478E+00
  -0.3912000000     -6.00940542      0.3848464218E+00
  -0.3911000000     -6.00668428      0.3759571737E+00
  -0.3910000000     -6.00396314      0.3672215843E+00
  -0.3909000000     -6.00124200      0.3586661128E+00
  -0.3908000000     -5.99852086      0.3503122192E+00
  -0.3907000000     -5.99579972      0.3421769601E+00
  -0.3906000000     -5.99307858      0.3342735496E+00
  -0.3905000000     -5.99035745      0.3266118780E+00
  -0.3904000000     -5.98763631      0.3191989861E+00
  -0.3903000000     -5.98491517      0.3120394950E+00
  -0.3902000000     -5.98219403      0.3051359909E+00
  -0.3901000000     -5.97947289      0.2984893682E+00
  -0.3900000000     -5.97675175      0.2920991321E+00
  -0.3899000000     -5.97403062      0.2859636651E+00
  -0.3898000000     -5.97130948      0.2800804602E+00
  -0.3897000000     -5.96858834      0.2744463237E+00
  -0.3896000000     -5.96586720      0.2690575522E+00
  -0.3895000000     -5.96314606      0.2639100849E+00
  -0.3894000000     -5.96042492      0.2589996366E+00
  -0.3893000000     -5.95770379      0.2543218125E+00
  -0.3892000000     -5.95498265      0.2498722079E+00
  -0.3891000000     -5.95226151      0.2456464948E+00
  -0.3890000000     -5.94954037      0.2416404991E+00
  -0.3889000000     -5.94681923      0.2378502674E+00
  -0.3888000000     -5.94409809      0.2342721286E+00
  -0.3887000000     -5.94137696      0.2309027488E+00
  -0.3886000000     -5.93865582      0.2277391844E+00
  -0.3885000000     -5.93593468      0.2247789309E+00
  -0.3884000000     -5.93321354      0.2220199724E+00
  -0.3883000000     -5.93049240      0.2194608310E+00
  -0.3882000000     -5.92777126      0.2171006180E+00
  -0.3881000000     -5.92505012      0.2149390884E+00
  -0.3880000000     -5.92232899      0.2129766996E+00
  -0.3879000000     -5.91960785      0.2112146761E+00
  -0.3878000000     -5.91688671      0.2096550817E+00
  -0.3877000000     -5.91416557      0.2083009002E+00
  -0.3876000000     -5.91144443      0.2071561265E+00
  -0.3875000000     -5.90872329      0.2062258706E+00
  -0.3874000000     -5.90600216      0.2055164740E+00
  -0.3873000000     -5.90328102      0.2050356431E+00
  -0.3872000000     -5.90055988      0.2047925981E+00
  -0.3871000000     -5.89783874      0.2047982397E+00
  -0.3870000000     -5.89511760      0.2050653334E+00
  -0.3869000000     -5.89239646      0.2056087079E+00
  -0.3868000000     -5.88967533      0.2064454632E+00
  -0.3867000000     -5.88695419      0.2075951774E+00
  -0.3866000000     -5.88423305      0.2090800910E+00
  -0.3865000000     -5.88151191      0.2109252354E+00
  -0.3864000000     -5.87879077      0.2131584463E+00
  -0.3863000000     -5.87606963      0.2158101656E+00
  -0.3862000000     -5.87334850      0.2189128728E+00
  -0.3861000000     -5.87062736      0.2224998886E+00
  -0.3860000000     -5.86790622      0.2266031343E+00
  -0.3859000000     -5.86518508      0.2312491818E+00
  -0.3858000000     -5.86246394      0.2364525376E+00
  -0.3857000000     -5.85974280      0.2422045161E+00
  -0.3856000000     -5.85702166      0.2484552088E+00
  -0.3855000000     -5.85430053      0.2550849594E+00
  -0.3854000000     -5.85157939      0.2618606574E+00
  -0.3853000000     -5.84885825      0.2683720001E+00
  -0.3852000000     -5.84613711      0.2739461104E+00
  -0.3851000000     -5.84341597      0.2775508931E+00
  -0.3850000000     -5.84069483      0.2777266994E+00
  -0.3849000000     -5.83797370      0.2726374774E+00
  -0.3848000000     -5.83525256      0.2603843275E+00
  -0.3847000000     -5.83253142      0.2396869525E+00
  -0.3846000000     -5.82981028      0.2107797796E+00
  -0.3845000000     -5.82708914      0.1759506417E+00
  -0.3844000000     -5.82436800      0.1390806735E+00
  -0.3843000000     -5.82164687      0.1042627518E+00
  -0.3842000000     -5.81892573      0.7443102081E-01
  -0.3841000000     -5.81620459      0.5083339098E-01
  -0.3840000000     -5.81348345      0.3334002467E-01
  -0.3839000000     -5.81076231      0.2106774049E-01
  -0.3838000000     -5.80804117      0.1290355184E-01
  -0.3837000000     -5.80532004      0.7802472263E-02
  -0.3836000000     -5.80259890      0.4904528189E-02
  -0.3835000000     -5.79987776      0.3550739303E-02
  -0.3834000000     -5.79715662      0.3256619344E-02
  -0.3833000000     -5.79443548      0.3674699006E-02
  -0.3832000000     -5.79171434      0.4559566266E-02
  -0.3831000000     -5.78899320      0.5739631006E-02
  -0.3830000000     -5.78627207      0.7095834289E-02
  -0.3829000000     -5.78355093      0.8546167058E-02
  -0.3828000000     -5.78082979      0.1003463219E-01
  -0.3827000000     -5.77810865      0.1152345466E-01
  -0.3826000000     -5.77538751      0.1298760958E-01
  -0.3825000000     -5.77266637      0.1441098356E-01
  -0.3824000000     -5.76994524      0.1578368035E-01
  -0.3823000000     -5.76722410      0.1710012669E-01
  -0.3822000000     -5.76450296      0.1835773811E-01
  -0.3821000000     -5.76178182      0.1955597755E-01
  -0.3820000000     -5.75906068      0.2069569029E-01
  -0.3819000000     -5.75633954      0.2177863390E-01
  -0.3818000000     -5.75361841      0.2280714633E-01
  -0.3817000000     -5.75089727      0.2378391220E-01
  -0.3816000000     -5.74817613      0.2471179902E-01
  -0.3815000000     -5.74545499      0.2559374335E-01
  -0.3814000000     -5.74273385      0.2643267271E-01
  -0.3813000000     -5.74001271      0.2723145300E-01
  -0.3812000000     -5.73729158      0.2799285420E-01
  -0.3811000000     -5.73457044      0.2871952908E-01
  -0.3810000000     -5.73184930      0.2941400117E-01
  -0.3809000000     -5.72912816      0.3007865916E-01
  -0.3808000000     -5.72640702      0.3071575593E-01
  -0.3807000000     -5.72368588      0.3132741061E-01
  -0.3806000000     -5.72096474      0.3191561274E-01
  -0.3805000000     -5.71824361      0.3248222773E-01
  -0.3804000000     -5.71552247      0.3302900320E-01
  -0.3803000000     -5.71280133      0.3355757563E-01
  -0.3802000000     -5.71008019      0.3406947719E-01
  -0.3801000000     -5.70735905      0.3456614264E-01
  -0.3800000000     -5.70463791      0.3504891589E-01
  -0.3799000000     -5.70191678      0.3551905647E-01
  -0.3798000000     -5.69919564      0.3597774559E-01
  -0.3797000000     -5.69647450      0.3642609198E-01
  -0.3796000000     -5.69375336      0.3686513729E-01
  -0.3795000000     -5.69103222      0.3729586121E-01
  -0.3794000000     -5.68831108      0.3771918624E-01
  -0.3793000000     -5.68558995      0.3813598215E-01
  -0.3792000000     -5.68286881      0.3854707009E-01
  -0.3791000000     -5.68014767      0.3895322643E-01
  -0.3790000000     -5.67742653      0.3935518634E-01
  -0.3789000000     -5.67470539      0.3975364713E-01
  -0.3788000000     -5.67198425      0.4014927124E-01
  -0.3787000000     -5.66926312      0.4054268917E-01
  -0.3786000000     -5.66654198      0.4093450208E-01
  -0.3785000000     -5.66382084      0.4132528422E-01
  -0.3784000000     -5.66109970      0.4171558527E-01
  -0.3783000000     -5.65837856      0.4210593240E-01
  -0.3782000000     -5.65565742      0.4249683224E-01
  -0.3781000000     -5.65293628      0.4288877276E-01
  -0.3780000000     -5.65021515      0.4328222492E-01
  -0.3779000000     -5.64749401      0.4367764429E-01
  -0.3778000000     -5.64477287      0.4407547253E-01
  -0.3777000000     -5.64205173      0.4447613881E-01
  -0.3776000000     -5.63933059      0.4488006105E-01
  -0.3775000000     -5.63660945      0.4528764723E-01
  -0.3774000000     -5.63388832      0.4569929646E-01
  -0.3773000000     -5.63116718      0.4611540013E-01
  -0.3772000000     -5.62844604      0.4653634288E-01
  -0.3771000000     -5.62572490      0.4696250363E-01
  -0.3770000000     -5.62300376      0.4739425644E-01
  -0.3769000000     -5.62028262      0.4783197140E-01
  -0.3768000000     -5.61756149      0.4827601550E-01
  -0.3767000000     -5.61484035      0.4872675335E-01
  -0.3766000000     -5.61211921      0.4918454800E-01
  -0.3765000000     -5.60939807      0.4964976165E-01
  -0.3764000000     -5.60667693      0.5012275634E-01
  -0.3763000000     -5.60395579      0.5060389463E-01
  -0.3762000000     -5.60123466      0.5109354026E-01
  -0.3761000000     -5.59851352      0.5159205877E-01
  -0.3760000000     -5.59579238      0.5209981812E-01
  -0.3759000000     -5.59307124      0.5261718929E-01
  -0.3758000000     -5.59035010      0.5314454686E-01
  -0.3757000000     -5.58762896      0.5368226959E-01
  -0.3756000000     -5.58490782      0.5423074097E-01
  -0.3755000000     -5.58218669      0.5479034979E-01
  -0.3754000000     -5.57946555      0.5536149066E-01
  -0.3753000000     -5.57674441      0.5594456457E-01
  -0.3752000000     -5.57402327      0.5653997941E-01
  -0.3751000000     -5.57130213      0.5714815050E-01
  -0.3750000000     -5.56858099      0.5776950111E-01
  -0.3749000000     -5.56585986      0.5840446299E-01
  -0.3748000000     -5.56313872      0.5905347689E-01
  -0.3747000000     -5.56041758      0.5971699306E-01
  -0.3746000000     -5.55769644      0.6039547178E-01
  -0.3745000000     -5.55497530      0.6108938387E-01
  -0.3744000000     -5.55225416      0.6179921122E-01
  -0.3743000000     -5.54953303      0.6252544728E-01
  -0.3742000000     -5.54681189      0.6326859758E-01
  -0.3741000000     -5.54409075      0.6402918025E-01
  -0.3740000000     -5.54136961      0.6480772653E-01
  -0.3739000000     -5.53864847      0.6560478128E-01
  -0.3738000000     -5.53592733      0.6642090348E-01
  -0.3737000000     -5.53320620      0.6725666673E-01
  -0.3736000000     -5.53048506      0.6811265980E-01
  -0.3735000000     -5.52776392      0.6898948704E-01
  -0.3734000000     -5.52504278      0.6988776896E-01
  -0.3733000000     -5.52232164      0.7080814263E-01
  -0.3732000000     -5.51960050      0.7175126223E-01
  -0.3731000000     -5.51687936      0.7271779944E-01
  -0.3730000000     -5.51415823      0.7370844391E-01
  -0.3729000000     -5.51143709      0.7472390370E-01
  -0.3728000000     -5.50871595      0.7576490565E-01
  -0.3727000000     -5.50599481      0.7683219580E-01
  -0.3726000000     -5.50327367      0.7792653969E-01
  -0.3725000000     -5.50055253      0.7904872270E-01
  -0.3724000000     -5.49783140      0.8019955032E-01
  -0.3723000000     -5.49511026      0.8137984837E-01
  -0.3722000000     -5.49238912      0.8259046318E-01
  -0.3721000000     -5.48966798      0.8383226169E-01
  -0.3720000000     -5.48694684      0.8510613150E-01
  -0.3719000000     -5.48422570      0.8641298084E-01
  -0.3718000000     -5.48150457      0.8775373843E-01
  -0.3717000000     -5.47878343      0.8912935326E-01
  -0.3716000000     -5.47606229      0.9054079428E-01
  -0.3715000000     -5.47334115      0.9198904988E-01
  -0.3714000000     -5.47062001      0.9347512736E-01
  -0.3713000000     -5.46789887      0.9500005208E-01
  -0.3712000000     -5.46517774      0.9656486660E-01
  -0.3711000000     -5.46245660      0.9817062951E-01
  -0.3710000000     -5.45973546      0.9981841408E-01
  -0.3709000000     -5.45701432      0.1015093067E+00
  -0.3708000000     -5.45429318      0.1032444049E+00
  -0.3707000000     -5.45157204      0.1050248155E+00
  -0.3706000000     -5.44885090      0.1068516518E+00
  -0.3705000000     -5.44612977      0.1087260309E+00
  -0.3704000000     -5.44340863      0.1106490706E+00
  -0.3703000000     -5.44068749      0.1126218855E+00
  -0.3702000000     -5.43796635      0.1146455832E+00
  -0.3701000000     -5.43524521      0.1167212596E+00
  -0.3700000000     -5.43252407      0.1188499937E+00
  -0.3699000000     -5.42980294      0.1210328418E+00
  -0.3698000000     -5.42708180      0.1232708315E+00
  -0.3697000000     -5.42436066      0.1255649540E+00
  -0.3696000000     -5.42163952      0.1279161570E+00
  -0.3695000000     -5.41891838      0.1303253357E+00
  -0.3694000000     -5.41619724      0.1327933234E+00
  -0.3693000000     -5.41347611      0.1353208814E+00
  -0.3692000000     -5.41075497      0.1379086876E+00
  -0.3691000000     -5.40803383      0.1405573242E+00
  -0.3690000000     -5.40531269      0.1432672643E+00
  -0.3689000000     -5.40259155      0.1460388579E+00
  -0.3688000000     -5.39987041      0.1488723163E+00
  -0.3687000000     -5.39714928      0.1517676952E+00
  -0.3686000000     -5.39442814      0.1547248772E+00
  -0.3685000000     -5.39170700      0.1577435528E+00
  -0.3684000000     -5.38898586      0.1608232002E+00
  -0.3683000000     -5.38626472      0.1639630644E+00
  -0.3682000000     -5.38354358      0.1671621346E+00
  -0.3681000000     -5.38082244      0.1704191214E+00
  -0.3680000000     -5.37810131      0.1737324321E+00
  -0.3679000000     -5.37538017      0.1771001464E+00
  -0.3678000000     -5.37265903      0.1805199908E+00
  -0.3677000000     -5.36993789      0.1839893129E+00
  -0.3676000000     -5.36721675      0.1875050556E+00
  -0.3675000000     -5.36449561      0.1910637319E+00
  -0.3674000000     -5.36177448      0.1946613994E+00
  -0.3673000000     -5.35905334      0.1982936373E+00
  -0.3672000000     -5.35633220      0.2019555234E+00
  -0.3671000000     -5.35361106      0.2056416144E+00
  -0.3670000000     -5.35088992      0.2093459283E+00
  -0.3669000000     -5.34816878      0.2130619301E+00
  -0.3668000000     -5.34544765      0.2167825216E+00
  -0.3667000000     -5.34272651      0.2205000360E+00
  -0.3666000000     -5.34000537      0.2242062380E+00
  -0.3665000000     -5.33728423      0.2278923302E+00
  -0.3664000000     -5.33456309      0.2315489657E+00
  -0.3663000000     -5.33184195      0.2351662698E+00
  -0.3662000000     -5.32912082      0.2387338685E+00
  -0.3661000000     -5.32639968      0.2422409274E+00
  -0.3660000000     -5.32367854      0.2456761984E+00
  -0.3659000000     -5.32095740      0.2490280775E+00
  -0.3658000000     -5.31823626      0.2522846711E+00
  -0.3657000000     -5.31551512      0.2554338730E+00
  -0.3656000000     -5.31279398      0.2584634500E+00
