#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.170474273968 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.24571267      0.4193414543E+00
  -0.3999000000     -6.24299153      0.4336365017E+00
  -0.3998000000     -6.24027039      0.4475013554E+00
  -0.3997000000     -6.23754925      0.4606522489E+00
  -0.3996000000     -6.23482812      0.4727533658E+00
  -0.3995000000     -6.23210698      0.4834169633E+00
  -0.3994000000     -6.22938584      0.4922077315E+00
  -0.3993000000     -6.22666470      0.4986528801E+00
  -0.3992000000     -6.22394356      0.5022593107E+00
  -0.3991000000     -6.22122242      0.5025387320E+00
  -0.3990000000     -6.21850128      0.4990405870E+00
  -0.3989000000     -6.21578015      0.4913911906E+00
  -0.3988000000     -6.21305901      0.4793356665E+00
  -0.3987000000     -6.21033787      0.4627775293E+00
  -0.3986000000     -6.20761673      0.4418096310E+00
  -0.3985000000     -6.20489559      0.4167302832E+00
  -0.3984000000     -6.20217445      0.3880400340E+00
  -0.3983000000     -6.19945332      0.3564176781E+00
  -0.3982000000     -6.19673218      0.3226779251E+00
  -0.3981000000     -6.19401104      0.2877166420E+00
  -0.3980000000     -6.19128990      0.2524517010E+00
  -0.3979000000     -6.18856876      0.2177676257E+00
  -0.3978000000     -6.18584762      0.1844705707E+00
  -0.3977000000     -6.18312649      0.1532573821E+00
  -0.3976000000     -6.18040535      0.1246994825E+00
  -0.3975000000     -6.17768421      0.9923987330E-01
  -0.3974000000     -6.17496307      0.7720005480E-01
  -0.3973000000     -6.17224193      0.5879315323E-01
  -0.3972000000     -6.16952079      0.4413979547E-01
  -0.3971000000     -6.16679966      0.3328396939E-01
  -0.3970000000     -6.16407852      0.2620696571E-01
  -0.3969000000     -6.16135738      0.2283832456E-01
  -0.3968000000     -6.15863624      0.2306340575E-01
  -0.3967000000     -6.15591510      0.2672774069E-01
  -0.3966000000     -6.15319396      0.3363871842E-01
  -0.3965000000     -6.15047282      0.4356543393E-01
  -0.3964000000     -6.14775169      0.5623770321E-01
  -0.3963000000     -6.14503055      0.7134533296E-01
  -0.3962000000     -6.14230941      0.8853871295E-01
  -0.3961000000     -6.13958827      0.1074316618E+00
  -0.3960000000     -6.13686713      0.1276071900E+00
